City,Region,Country,ParentLocation,AirQuality,WaterPollution
Caxias do Sul,Rio Grande do Sul,Brazil,Americas,85,37.5
Durango,Durango,Mexico,Americas,83.33333333,50
Chatham-Kent,Ontario,Canada,Americas,60,25
Eau Claire,Wisconsin,United States of America,Americas,96.42857143,33.33333333
Charlottesville,Virginia,United States of America,Americas,100,58.33333333
Tijuana,Baja California,Mexico,Americas,33.33333333,69.23076923
Fort McMurray,Alberta,Canada,Americas,70,41.66666667
Beverly Hills,California,United States of America,Americas,100,0
Yonkers,New York,United States of America,Americas,100,50
Niagara Falls,New York,United States of America,Americas,100,50
Waco,Texas,United States of America,Americas,81.25,68.75
Frisco,Texas,United States of America,Americas,87.5,29.16666667
Beaumont,Texas,United States of America,Americas,70.83333333,87.5
Denton,Texas,United States of America,Americas,62.5,37.5
Midland,Texas,United States of America,Americas,75,100
Round Rock,Texas,United States of America,Americas,75,0
Wichita Falls,Texas,United States of America,Americas,62.5,43.75
Odessa,Texas,United States of America,Americas,100,50
Lafayette,Louisiana,United States of America,Americas,92.85714286,0
Oyster Bay,New York,United States of America,Americas,100,25
Roy,Utah,United States of America,Americas,100,50
Sioux Falls,South Dakota,United States of America,Americas,81.81818182,32.14285714
Natal,Rio Grande do Norte,Brazil,Americas,80.68181818,59.09090909
Hanover,New Hampshire,United States of America,Americas,100,50
Florianopolis,Santa Catarina,Brazil,Americas,82.60869565,67.39130435
Hamilton,Ontario,Canada,Americas,42.79661017,54.01785714
Springfield,Missouri,United States of America,Americas,84.72222222,42.30769231
Galveston,Texas,United States of America,Americas,85.71428571,50
Abingdon,Virginia,United States of America,Americas,100,50
Camden,New Jersey,United States of America,Americas,87.5,50
Hoboken,New Jersey,United States of America,Americas,56.25,62.5
Livermore,California,United States of America,Americas,75,54.16666667
Brossard,Quebec,Canada,Americas,100,50
Saguenay,Quebec,Canada,Americas,96.875,18.75
Zacatecas,Zacatecas,Mexico,Americas,82.14285714,37.5
Longueuil,Quebec,Canada,Americas,100,37.5
Sherbrooke,Quebec,Canada,Americas,90.78947368,31.66666667
Boisbriand,Quebec,Canada,Americas,75,25
Atlantic City,New Jersey,United States of America,Americas,91.66666667,37.5
Richmond,Quebec,Canada,Americas,80,50
Chateauguay,Quebec,Canada,Americas,100,0
Victoriaville,Quebec,Canada,Americas,91.66666667,50
Mascouche,Quebec,Canada,Americas,100,50
Rouyn-Noranda,Quebec,Canada,Americas,91.66666667,12.5
Laval,Quebec,Canada,Americas,91.07142857,41.66666667
Gatineau,Quebec,Canada,Americas,88.63636364,42.85714286
Granby,Quebec,Canada,Americas,100,75
Drummondville,Quebec,Canada,Americas,100,0
Montmagny,Quebec,Canada,Americas,100,50
Salaberry-de-Valleyfield,Quebec,Canada,Americas,85,50
Senneterre,Quebec,Canada,Americas,100,50
Sainte-Adele,Quebec,Canada,Americas,90,100
Allentown,Pennsylvania,United States of America,Americas,60.71428571,75
Grants Pass,Oregon,United States of America,Americas,62.5,75
Zanesville,Ohio,United States of America,Americas,50,85
Zapopan,Jalisco,Mexico,Americas,58.92857143,42.85714286
Brookhaven,Georgia,United States of America,Americas,50,75
Joinville,Santa Catarina,Brazil,Americas,77.94117647,58.82352941
Santa Cruz,California,United States of America,Americas,88.23529412,34.61538462
Santa Clara,California,United States of America,Americas,75,35
Arequipa,Arequipa,Peru,Americas,18.33333333,88.33333333
Santa Barbara,California,United States of America,Americas,83.82352941,56.25
Valdivia,Los Rios Region,Chile,Americas,0,50
Port Antonio,Surrey County,Jamaica,Americas,75,100
Akron,Ohio,United States of America,Americas,65,83.33333333
West Palm Beach,Florida,United States of America,Americas,72.5,66.66666667
Merida,Yucatan,Mexico,Americas,71.09375,50
Teresina,Piaui,Brazil,Americas,75,75
Fort Lauderdale,Florida,United States of America,Americas,81.57894737,42.10526316
Billings,Montana,United States of America,Americas,75,40
West Lafayette,Indiana,United States of America,Americas,75,75
Crescent City,California,United States of America,Americas,100,0
Kalamazoo,Michigan,United States of America,Americas,88.63636364,53.57142857
Joao Pessoa,Paraiba,Brazil,Americas,86.11111111,43.75
Vitoria,Espirito Santo,Brazil,Americas,34.61538462,55
Campo Grande,Mato Grosso do Sul,Brazil,Americas,92.5,57.14285714
Moa,Holguin Province,Cuba,Americas,0,75
San Mateo,California,United States of America,Americas,80,20
Yuba City,California,United States of America,Americas,100,50
Passaic,New Jersey,United States of America,Americas,50,75
Cuiaba,Mato Grosso,Brazil,Americas,25,37.5
Eugene,Oregon,United States of America,Americas,75,36.25
Campinas,Sao Paulo,Brazil,Americas,61.02941176,48.33333333
Maracaibo,Zulia,Venezuela,Americas,20,95
Porto Velho,Rondonia,Brazil,Americas,50,50
Wilmington,Delaware,United States of America,Americas,66.66666667,87.5
Villa Alemana,Valparaiso Region,Chile,Americas,37.5,50
Poughkeepsie,New York,United States of America,Americas,91.66666667,12.5
Niteroi,Rio de Janeiro,Brazil,Americas,57.8125,52.27272727
Puyallup,Washington,United States of America,Americas,75,25
Rancho Palos Verdes,California,United States of America,Americas,87.5,25
Boa Vista,Roraima,Brazil,Americas,91.66666667,58.33333333
Augusta,Georgia,United States of America,Americas,71.875,33.33333333
Cochabamba,Cochabamba Department,Bolivia,Americas,26.38888889,68.75
Vina del Mar,Valparaiso Region,Chile,Americas,62.5,30
Sao Bernardo do Campo,Sao Paulo,Brazil,Americas,28.125,66.66666667
Guarulhos,Sao Paulo,Brazil,Americas,67.85714286,21.875
Grand Rapids,Michigan,United States of America,Americas,69.23076923,44.44444444
Grapevine,Texas,United States of America,Americas,0,100
Knoxville,Tennessee,United States of America,Americas,56.94444444,51.78571429
Belvidere,Illinois,United States of America,Americas,75,25
Chattanooga,Tennessee,United States of America,Americas,79.41176471,61.53846154
Spokane,Washington,United States of America,Americas,77.88461538,25
Ribeirao Preto,Sao Paulo,Brazil,Americas,47.72727273,61.11111111
Nova Iguacu,Rio de Janeiro,Brazil,Americas,45,100
Sorocaba,Sao Paulo,Brazil,Americas,53.57142857,41.66666667
Petropolis,Rio de Janeiro,Brazil,Americas,100,75
Hermosillo,Sonora,Mexico,Americas,65.27777778,51.38888889
