IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,12.29,,,9.06,,15.98,12.29 [9.06-15.98],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,12.3,,,11.95,,12.67,12.30 [11.95-12.67],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,12.34,,,9.54,,16.24,12.34 [9.54-16.24],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PRY,Paraguay,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,12.49,,,9.21,,17.81,12.49 [9.21-17.81],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.7,,,11.16,,14.39,12.70 [11.16-14.39],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SUR,Suriname,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,12.78,,,7.1,,19.85,12.78 [7.10-19.85],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,ARG,Argentina,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.85,,,9.05,,17.3,12.85 [9.05-17.30],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CUB,Cuba,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,12.93,,,8.96,,19.52,12.93 [8.96-19.52],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.01,,,10.88,,15.19,13.01 [10.88-15.19],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MLT,Malta,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,13.08,,,12.05,,14.44,13.08 [12.05-14.44],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UKR,Ukraine,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,13.12,,,9.41,,18.28,13.12 [9.41-18.28],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,COL,Colombia,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.14,,,10.66,,16.55,13.14 [10.66-16.55],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SUR,Suriname,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,13.21,,,7.5,,20.06,13.21 [7.50-20.06],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,COL,Colombia,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,13.26,,,11.25,,16.03,13.26 [11.25-16.03],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,13.33,,,12.86,,14.13,13.33 [12.86-14.13],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BLR,Belarus,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.41,,,11.06,,15.92,13.41 [11.06-15.92],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.44,,,12.49,,14.47,13.44 [12.49-14.47],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.45,,,12.46,,14.43,13.45 [12.46-14.43],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PRY,Paraguay,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,13.5,,,10.3,,18.17,13.50 [10.30-18.17],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.56,,,13.06,,14.16,13.56 [13.06-14.16],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,13.63,,,9.53,,18.61,13.63 [9.53-18.61],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,13.71,,,12.46,,15.14,13.71 [12.46-15.14],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,JAM,Jamaica,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.75,,,11.35,,16.37,13.75 [11.35-16.37],,,EN,2022-08-11T23:00:00.000Z
